campaign,f1_init,f1_end,f2_init,f2_end,duration_f1,duration_f2
1,5/25/2019 8:00,10/14/2019 19:59,4/27/2019 8:00,9/1/2019 19:59,142,127
2,10/19/2019 8:00,3/9/2020 19:59,9/9/2019 8:00,1/6/2020 19:59,142,119
3,3/14/2020 8:00,8/2/2020 19:59,1/11/2020 8:00,6/2/2020 19:59,141,143
4,8/8/2020 8:00,2/1/2021 19:59,6/7/2020 8:00,10/19/2020 19:59,177,134
5,2/7/2021 8:00,7/4/2021 19:59,11/24/2020 8:00,4/19/2021 19:59,147,146
6,7/11/2021 8:00,12/6/2021 19:59,4/24/2021 8:00,9/22/2021 19:59,148,151
7,12/10/2021 8:00,5/2/2022 19:59,9/26/2021 8:00,2/16/2022 19:59,143,143
8,5/6/2022 8:00,9/22/2022 19:59,2/20/2022 8:00,7/12/2022 19:59,139,142
9,10/5/2022 8:00,2/28/2023 19:59,7/16/2022 8:00,12/5/2022 19:59,146,142
10,3/9/2023 8:00,8/1/2023 19:59,12/9/2022 8:00,5/8/2023 19:59,145,150
11,8/4/2023 8:00,12/23/2023 8:00,5/12/2023 8:00,10/2/2023 19:59,141,143
12,12/26/2023 8:00,5/27/2024 8:00,10/7/2023 8:00,3/4/2024 19:59,153,149
13,5/31/2024 8:00,11/11/2024 8:00,3/9/2024 8:00,8/12/2024 8:00,164,156
14,11/17/2024 8:00,4/11/2025 8:00,8/16/2024 8:00,1/18/2025 8:00,145,155
15,4/27/2025 8:00,9/19/2025 8:00,1/24/2025 8:00,7/13/2025 8:00,145,170
16,9/23/2025 8:00,2/15/2026 8:00,7/17/2025 8:00,12/9/2025 8:00,145,145
