Fecha,Presión (psi),Velocidad de giro (rpm),Potencia medida (kW),Ley de hierro (%),Torque (%),Solido Alimentación (%),% Gruesos (Split),Numero lifter libres,Jc medido,Edad de revestimiento (h),Jb medido
5/13/2024,787.82,9.8,12626.72,16.22,73.54,65.6,21.96,22,28.66,3291.27,16.4
5/27/2024,759.28,9.79,12666.01,13.93,73.54,65.63,84.81,22.4,26.72,3617.24,17.38
6/7/2024,859.51,9.81,12054.81,14.65,69.88,66.12,13.71,21.8,29.65,178.71,17.45
7/16/2024,845.66,9.8,11809.66,21.55,68.61,72.7,19.32,22,28.66,1088,14.9
9/11/2024,808.71,9.8,12447.3,15.24,72.24,68.75,15.54,22.4,26.72,3294.45,16.71
10/17/2024,765.45,9.8,13135.85,11.18,76.82,70.57,20.03,21.8,29.65,3261.54,17.97
11/19/2024,858.78,9.78,11660.85,15.18,67.93,72.29,28.83,22.1,28.17,38.98,16.73
11/26/2024,861.55,9.78,12287.92,13.29,71.64,72.1,23.48,21.2,32.68,205.66,17.61
1/7/2025,821.18,9.78,11776.75,11.92,68.43,75.77,17.56,22,28.66,1188.09,15.99
2/24/2025,801.73,9.81,12034.72,12.48,69.8,72.41,27.27,22.1,28.17,2297.49,15.82
3/4/2025,784.88,9.81,12080.56,13.68,69.98,57.4,80.97,22.5,26.25,2462.96,16.6
3/24/2025,776.28,9.78,11813.71,14.28,68.96,68.54,31.71,23.2,23.01,2883.54,17.01
5/16/2025,746.79,9.81,12009.83,13.45,69.89,71.17,22.7,22.9,24.38,4113.76,16.7
6/2/2025,860.4,9.8,12814.43,12.76,74.48,67.73,16.41,20.4,36.86,219.57,17.98
7/8/2025,824.85,9.8,11837.77,15.25,69.09,70.51,24.59,22.5,29.25,1039.76,17.07
