date,lithology_alpha,lithology_bravo,lithology_charlie,lithology_delta,lithology_echo,lithology_foxtrot,lithology_golf,quality_massive,quality_jointed,quality_brecciated,feed_tonnes
2032-01-01,6243.631,10901.855,1711.083,8869.22,595.593,11987.69,3457.031,13180.33,28611.301,1974.471,43766.102
2032-01-02,3973.689,13446.314,3971.594,12682.431,661.752,10842.353,3443.68,19041.932,17895.547,12084.333,49021.812
2032-01-03,10148.463,8716.082,3588.649,12665.656,835.66,7841.852,3777.628,16664.942,12864.205,18044.842,47573.99
2032-01-04,7206.995,13734.069,7832.082,3294.446,8641.665,703.675,2713.919,24873.705,13662.95,5590.198,44126.853
2032-01-05,11700.731,16995.583,1110.552,10291.949,686.323,5436.213,109.648,35422.765,4157.536,6750.698,46330.999
2032-01-06,7206.393,2550.379,734.677,5174.788,6612.791,5870.744,3884.402,3951.156,23144.476,4938.542,32034.174
2032-01-07,2190.62,2108.674,7212.032,3246.416,10192.102,4106.13,3800.473,7675.462,16275.094,8905.891,32856.447
2032-01-08,1751.112,18346.236,6971.037,5244.938,4754.485,12125.185,1074.823,14641.562,28227.45,7398.803,50267.815
2032-01-09,9468.22,6784.815,2935.681,7743.963,510.303,10007.929,4394.448,13261.61,23822.402,4761.347,41845.36
2032-01-10,2985.123,6595.992,1678.125,14323.448,515.105,11340.933,4124.443,5809.234,18463.024,17290.91,41563.168
2032-01-11,6864.909,8527.034,7316.443,7273.075,2958.841,2388.283,1343.037,16475.779,10299.791,9896.051,36671.622
2032-01-12,13593.641,7775.937,4765.838,6181.556,444.296,7580.42,4504.749,6889.876,21915.49,16041.07,44846.437
2032-01-13,6397.55,13173.704,4000.202,5909.309,2174.958,5924.292,11272.177,16109.416,15951.624,16791.152,48852.192
2032-01-14,7645.779,9336.883,5895.245,13572.12,3247.053,3924.016,5556.082,20739.638,25816.583,2620.957,49177.178
2032-01-15,8744.158,9069.046,11754.702,3845.18,5987.099,4369.926,2404.785,18504.171,19223.248,8447.476,46174.895
2032-01-16,7224.923,17510.07,3036.135,8375.465,2556.216,1019.995,6400.873,8923.325,9711.077,27489.277,46123.678
2032-01-17,6761.965,6389.5,2664.121,8090.382,12856.775,6031.474,2424.788,19582.58,8391.964,17244.462,45219.005
2032-01-18,18933.644,8100.295,4624.491,3610.619,4225.719,11213.162,4476.879,30732.883,14980.943,9470.981,55184.808
2032-01-19,2412.184,8755.408,3135.069,3442.594,6768.827,9204.272,941.999,10144.864,21860.154,2655.334,34660.352
2032-01-20,3836.22,5580.488,6347.424,7810.062,711.683,14920.035,7056.517,21998.69,13541.229,10722.509,46262.428
2032-01-21,9396.93,14553.919,2674.334,6303.888,4400.435,3200.372,1495.288,22932.17,8257.456,10835.539,42025.165
2032-01-22,13689.097,6622.101,3611.106,8525.968,7602.456,10711.837,804.561,32871.309,13281.298,5414.52,51567.127
2032-01-23,8424.169,8823.107,4245.031,12925.393,7363.849,1309.782,1996.233,7898.792,11453.198,25735.574,45087.565
2032-01-24,10274.994,8071.414,3516.951,10396.181,6364.103,312.667,2849.695,11260.828,16449.048,14076.13,41786.005
2032-01-25,3063.441,7034.871,14813.572,11137.547,3122.293,5399.087,1657.245,9926.446,23579.847,12721.762,46228.055
2032-01-26,2955.422,4707.366,9221.561,11437.502,1704.925,5411.527,10497.801,11369.0,30002.552,4564.553,45936.105
2032-01-27,10143.677,12065.756,12762.405,4531.034,2230.031,14277.701,5989.394,23721.227,16589.718,21689.054,62000.0
2032-01-28,6748.242,14834.831,10319.588,7839.731,1610.358,10914.499,4446.513,21241.324,20859.254,14613.185,56713.762
2032-01-29,7213.174,10038.475,13714.105,12532.417,4603.117,1536.903,2830.254,17092.271,28142.575,7233.599,52468.445
2032-01-30,9496.96,12794.234,5251.781,8034.13,782.794,6973.355,1257.449,30076.684,14345.614,168.403,44590.701
2032-01-31,18653.036,5093.122,8548.3,2334.159,5029.64,1811.805,700.111,10819.466,25996.798,5353.909,42170.173
2032-02-01,3822.062,9503.484,1530.147,7609.131,3724.992,15338.221,2842.789,15663.526,9135.066,19572.234,44370.826
2032-02-02,10665.845,13044.812,2143.253,11150.992,1011.447,2364.848,280.795,7874.078,18704.488,14083.425,40661.991
2032-02-03,8715.998,9669.236,3916.862,8654.602,1138.69,1191.472,5772.417,20006.501,17725.285,1327.491,39059.277
